"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"161";"target ~ oldpeak+ca4";35;30;12;25;0.637254901960784;0.714285714285714;0.583333333333333
"162";"target ~ oldpeak+thal0";35;30;12;25;0.637254901960784;0.714285714285714;0.583333333333333
"163";"target ~ oldpeak+thal1";33;30;12;27;0.617647058823529;0.714285714285714;0.55
"164";"target ~ oldpeak+thal2";39;34;8;21;0.715686274509804;0.80952380952381;0.65
"165";"target ~ oldpeak+thal3";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"166";"target ~ sex0+sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"167";"target ~ sex0+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"168";"target ~ sex0+cp1";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"169";"target ~ sex0+cp2";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"170";"target ~ sex0+cp3";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"171";"target ~ sex0+fbs0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"172";"target ~ sex0+fbs1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"173";"target ~ sex0+restecg0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"174";"target ~ sex0+restecg1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"175";"target ~ sex0+restecg2";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"176";"target ~ sex0+exang0";21;38;4;39;0.57843137254902;0.904761904761905;0.35
"177";"target ~ sex0+exang1";21;38;4;39;0.57843137254902;0.904761904761905;0.35
"178";"target ~ sex0+slope0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"179";"target ~ sex0+slope1";14;38;4;46;0.509803921568627;0.904761904761905;0.233333333333333
"180";"target ~ sex0+slope2";12;41;1;48;0.519607843137255;0.976190476190476;0.2
"181";"target ~ sex0+ca0";19;40;2;41;0.57843137254902;0.952380952380952;0.316666666666667
"182";"target ~ sex0+ca1";22;36;6;38;0.568627450980392;0.857142857142857;0.366666666666667
"183";"target ~ sex0+ca2";20;38;4;40;0.568627450980392;0.904761904761905;0.333333333333333
"184";"target ~ sex0+ca3";23;36;6;37;0.57843137254902;0.857142857142857;0.383333333333333
"185";"target ~ sex0+ca4";25;34;8;35;0.57843137254902;0.80952380952381;0.416666666666667
"186";"target ~ sex0+thal0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"187";"target ~ sex0+thal1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"188";"target ~ sex0+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"189";"target ~ sex0+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"190";"target ~ sex1+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"191";"target ~ sex1+cp1";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"192";"target ~ sex1+cp2";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"193";"target ~ sex1+cp3";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"194";"target ~ sex1+fbs0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
