"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"178";"target ~ sex0+slope0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"179";"target ~ sex0+slope1";51;23;19;9;0.725490196078431;0.547619047619048;0.85
"180";"target ~ sex0+slope2";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"181";"target ~ sex0+ca0";50;25;17;10;0.735294117647059;0.595238095238095;0.833333333333333
"182";"target ~ sex0+ca1";54;14;28;6;0.666666666666667;0.333333333333333;0.9
"183";"target ~ sex0+ca2";20;38;4;40;0.568627450980392;0.904761904761905;0.333333333333333
"184";"target ~ sex0+ca3";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"185";"target ~ sex0+ca4";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"186";"target ~ sex0+thal0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"187";"target ~ sex0+thal1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"188";"target ~ sex0+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"189";"target ~ sex0+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"190";"target ~ sex1+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"191";"target ~ sex1+cp1";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"192";"target ~ sex1+cp2";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"193";"target ~ sex1+cp3";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"194";"target ~ sex1+fbs0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"195";"target ~ sex1+fbs1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"196";"target ~ sex1+restecg0";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"197";"target ~ sex1+restecg1";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"198";"target ~ sex1+restecg2";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"199";"target ~ sex1+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"200";"target ~ sex1+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"201";"target ~ sex1+slope0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"202";"target ~ sex1+slope1";51;23;19;9;0.725490196078431;0.547619047619048;0.85
"203";"target ~ sex1+slope2";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"204";"target ~ sex1+ca0";50;25;17;10;0.735294117647059;0.595238095238095;0.833333333333333
"205";"target ~ sex1+ca1";54;14;28;6;0.666666666666667;0.333333333333333;0.9
"206";"target ~ sex1+ca2";20;38;4;40;0.568627450980392;0.904761904761905;0.333333333333333
"207";"target ~ sex1+ca3";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"208";"target ~ sex1+ca4";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"209";"target ~ sex1+thal0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"210";"target ~ sex1+thal1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"211";"target ~ sex1+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"212";"target ~ sex1+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"213";"target ~ cp0+cp1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"214";"target ~ cp0+cp2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"215";"target ~ cp0+cp3";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"216";"target ~ cp0+fbs0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"217";"target ~ cp0+fbs1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"218";"target ~ cp0+restecg0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"219";"target ~ cp0+restecg1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"220";"target ~ cp0+restecg2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"221";"target ~ cp0+exang0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"222";"target ~ cp0+exang1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"223";"target ~ cp0+slope0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"224";"target ~ cp0+slope1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"225";"target ~ cp0+slope2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"226";"target ~ cp0+ca0";57;25;17;3;0.803921568627451;0.595238095238095;0.95
"227";"target ~ cp0+ca1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"228";"target ~ cp0+ca2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"229";"target ~ cp0+ca3";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"230";"target ~ cp0+ca4";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"231";"target ~ cp0+thal0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"232";"target ~ cp0+thal1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"233";"target ~ cp0+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"234";"target ~ cp0+thal3";34;40;2;26;0.725490196078431;0.952380952380952;0.566666666666667
"235";"target ~ cp1+cp2";36;38;4;24;0.725490196078431;0.904761904761905;0.6
"236";"target ~ cp1+cp3";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"237";"target ~ cp1+fbs0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"238";"target ~ cp1+fbs1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"239";"target ~ cp1+restecg0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"240";"target ~ cp1+restecg1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"241";"target ~ cp1+restecg2";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"242";"target ~ cp1+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"243";"target ~ cp1+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"244";"target ~ cp1+slope0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"245";"target ~ cp1+slope1";45;24;18;15;0.676470588235294;0.571428571428571;0.75
"246";"target ~ cp1+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"247";"target ~ cp1+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"248";"target ~ cp1+ca1";54;13;29;6;0.656862745098039;0.30952380952381;0.9
"249";"target ~ cp1+ca2";58;12;30;2;0.686274509803922;0.285714285714286;0.966666666666667
"250";"target ~ cp1+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"251";"target ~ cp1+ca4";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"252";"target ~ cp1+thal0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"253";"target ~ cp1+thal1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"254";"target ~ cp1+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"255";"target ~ cp1+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"256";"target ~ cp2+cp3";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"257";"target ~ cp2+fbs0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"258";"target ~ cp2+fbs1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"259";"target ~ cp2+restecg0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"260";"target ~ cp2+restecg1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"261";"target ~ cp2+restecg2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"262";"target ~ cp2+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"263";"target ~ cp2+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"264";"target ~ cp2+slope0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"265";"target ~ cp2+slope1";48;24;18;12;0.705882352941177;0.571428571428571;0.8
"266";"target ~ cp2+slope2";46;31;11;14;0.754901960784314;0.738095238095238;0.766666666666667
"267";"target ~ cp2+ca0";52;28;14;8;0.784313725490196;0.666666666666667;0.866666666666667
"268";"target ~ cp2+ca1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"269";"target ~ cp2+ca2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"270";"target ~ cp2+ca3";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"271";"target ~ cp2+ca4";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"272";"target ~ cp2+thal0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"273";"target ~ cp2+thal1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"274";"target ~ cp2+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"275";"target ~ cp2+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"276";"target ~ cp3+fbs0";60;0;42;0;0.588235294117647;0;1
"277";"target ~ cp3+fbs1";60;0;42;0;0.588235294117647;0;1
"278";"target ~ cp3+restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"279";"target ~ cp3+restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"280";"target ~ cp3+restecg2";60;0;42;0;0.588235294117647;0;1
"281";"target ~ cp3+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"282";"target ~ cp3+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"283";"target ~ cp3+slope0";60;0;42;0;0.588235294117647;0;1
"284";"target ~ cp3+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"285";"target ~ cp3+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"286";"target ~ cp3+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"287";"target ~ cp3+ca1";53;15;27;7;0.666666666666667;0.357142857142857;0.883333333333333
