"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;37;8;11;0.813725490196078;0.822222222222222;0.807017543859649
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;41;9;6;0.852941176470588;0.82;0.884615384615385
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;32;14;3;0.833333333333333;0.695652173913043;0.946428571428571
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;32;9;12;0.794117647058823;0.780487804878049;0.80327868852459
"neuralNet: target ~ cp2+ca0+thal1+thal2";37;37;6;22;0.725490196078431;0.86046511627907;0.627118644067797
"neuralNet: target ~ cp2+ca0+thal1+thal2";49;33;6;14;0.803921568627451;0.846153846153846;0.777777777777778
"neuralNet: target ~ cp2+ca0+thal1+thal2";47;32;11;12;0.774509803921569;0.744186046511628;0.796610169491525
"neuralNet: target ~ cp2+ca0+thal1+thal2";41;44;5;12;0.833333333333333;0.897959183673469;0.773584905660377
"neuralNet: target ~ cp2+ca0+thal1+thal2";48;40;5;9;0.862745098039216;0.888888888888889;0.842105263157895
"neuralNet: target ~ cp2+ca0+thal1+thal2";40;40;11;11;0.784313725490196;0.784313725490196;0.784313725490196
"neuralNet: target ~ cp2+ca0+thal1+thal2";48;37;6;11;0.833333333333333;0.86046511627907;0.813559322033898
"neuralNet: target ~ cp2+ca0+thal1+thal2";41;42;10;9;0.813725490196078;0.807692307692308;0.82
"neuralNet: target ~ cp2+ca0+thal1+thal2";43;41;4;14;0.823529411764706;0.911111111111111;0.754385964912281
"neuralNet: target ~ cp2+ca0+thal1+thal2";46;35;11;10;0.794117647058823;0.760869565217391;0.821428571428571
"neuralNet: target ~ cp2+ca0+thal1+thal2";43;42;8;9;0.833333333333333;0.84;0.826923076923077
"neuralNet: target ~ cp2+ca0+thal1+thal2";41;40;6;15;0.794117647058823;0.869565217391304;0.732142857142857
"neuralNet: target ~ cp2+ca0+thal1+thal2";37;47;8;10;0.823529411764706;0.854545454545454;0.787234042553192
"neuralNet: target ~ cp2+ca0+thal1+thal2";49;35;9;9;0.823529411764706;0.795454545454545;0.844827586206897
"neuralNet: target ~ cp2+ca0+thal1+thal2";40;41;8;13;0.794117647058823;0.836734693877551;0.754716981132076
"neuralNet: target ~ cp2+ca0+thal1+thal2";42;41;10;9;0.813725490196078;0.803921568627451;0.823529411764706
"neuralNet: target ~ cp2+ca0+thal1+thal2";46;36;9;11;0.803921568627451;0.8;0.807017543859649
"neuralNet: target ~ cp2+ca0+thal1+thal2";42;41;8;11;0.813725490196078;0.836734693877551;0.792452830188679
"neuralNet: target ~ cp2+ca0+thal1+thal2";47;39;7;9;0.843137254901961;0.847826086956522;0.839285714285714
"neuralNet: target ~ cp2+ca0+thal1+thal2";48;36;7;11;0.823529411764706;0.837209302325581;0.813559322033898
"neuralNet: target ~ cp2+ca0+thal1+thal2";42;43;7;10;0.833333333333333;0.86;0.807692307692308
"neuralNet: target ~ cp2+ca0+thal1+thal2";51;35;4;12;0.843137254901961;0.897435897435897;0.80952380952381
"neuralNet: target ~ cp2+ca0+thal1+thal2";46;42;6;8;0.862745098039216;0.875;0.851851851851852
