"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"183";"target ~ sex0+ca2";20;38;4;40;0.568627450980392;0.904761904761905;0.333333333333333
"184";"target ~ sex0+ca3";23;36;6;37;0.57843137254902;0.857142857142857;0.383333333333333
"185";"target ~ sex0+ca4";25;34;8;35;0.57843137254902;0.80952380952381;0.416666666666667
"186";"target ~ sex0+thal0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"187";"target ~ sex0+thal1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"188";"target ~ sex0+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"189";"target ~ sex0+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"190";"target ~ sex1+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"191";"target ~ sex1+cp1";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"192";"target ~ sex1+cp2";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"193";"target ~ sex1+cp3";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"194";"target ~ sex1+fbs0";21;37;5;39;0.568627450980392;0.880952380952381;0.35
"195";"target ~ sex1+fbs1";21;37;5;39;0.568627450980392;0.880952380952381;0.35
"196";"target ~ sex1+restecg0";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"197";"target ~ sex1+restecg1";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"198";"target ~ sex1+restecg2";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"199";"target ~ sex1+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"200";"target ~ sex1+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"201";"target ~ sex1+slope0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"202";"target ~ sex1+slope1";51;23;19;9;0.725490196078431;0.547619047619048;0.85
"203";"target ~ sex1+slope2";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"204";"target ~ sex1+ca0";50;25;17;10;0.735294117647059;0.595238095238095;0.833333333333333
"205";"target ~ sex1+ca1";54;14;28;6;0.666666666666667;0.333333333333333;0.9
"206";"target ~ sex1+ca2";20;38;4;40;0.568627450980392;0.904761904761905;0.333333333333333
"207";"target ~ sex1+ca3";23;36;6;37;0.57843137254902;0.857142857142857;0.383333333333333
"208";"target ~ sex1+ca4";25;34;8;35;0.57843137254902;0.80952380952381;0.416666666666667
"209";"target ~ sex1+thal0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"210";"target ~ sex1+thal1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"211";"target ~ sex1+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"212";"target ~ sex1+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"213";"target ~ cp0+cp1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"214";"target ~ cp0+cp2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"215";"target ~ cp0+cp3";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"216";"target ~ cp0+fbs0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"217";"target ~ cp0+fbs1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"218";"target ~ cp0+restecg0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"219";"target ~ cp0+restecg1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"220";"target ~ cp0+restecg2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"221";"target ~ cp0+exang0";56;19;23;4;0.735294117647059;0.452380952380952;0.933333333333333
"222";"target ~ cp0+exang1";56;19;23;4;0.735294117647059;0.452380952380952;0.933333333333333
"223";"target ~ cp0+slope0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"224";"target ~ cp0+slope1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"225";"target ~ cp0+slope2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"226";"target ~ cp0+ca0";57;25;17;3;0.803921568627451;0.595238095238095;0.95
"227";"target ~ cp0+ca1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"228";"target ~ cp0+ca2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"229";"target ~ cp0+ca3";43;36;6;17;0.774509803921569;0.857142857142857;0.716666666666667
"230";"target ~ cp0+ca4";45;34;8;15;0.774509803921569;0.80952380952381;0.75
"231";"target ~ cp0+thal0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"232";"target ~ cp0+thal1";43;35;7;17;0.764705882352941;0.833333333333333;0.716666666666667
"233";"target ~ cp0+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"234";"target ~ cp0+thal3";34;40;2;26;0.725490196078431;0.952380952380952;0.566666666666667
"235";"target ~ cp1+cp2";36;38;4;24;0.725490196078431;0.904761904761905;0.6
"236";"target ~ cp1+cp3";22;37;5;38;0.57843137254902;0.880952380952381;0.366666666666667
"237";"target ~ cp1+fbs0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"238";"target ~ cp1+fbs1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"239";"target ~ cp1+restecg0";36;25;17;24;0.598039215686274;0.595238095238095;0.6
"240";"target ~ cp1+restecg1";36;25;17;24;0.598039215686274;0.595238095238095;0.6
